Rank,Candidate,Similarity_Score,File,Job_Description,Skills,Skill_Count
1,Laiba Khan Frontend Developer 8,23.56663378242559,Laiba_Khan_Frontend_Developer_8.pdf,Frontend Developer Jd,"react, git, css, go, typescript",5
2,Kashif Siddiqui Frontend Developer 3,23.121627264165678,Kashif_Siddiqui_Frontend_Developer_3.pdf,Frontend Developer Jd,"java, javascript, react, machine learning, git",9
3,Kashif Qureshi Frontend Developer 5,20.348393577663312,Kashif_Qureshi_Frontend_Developer_5.pdf,Frontend Developer Jd,"react, git, html, css, typescript",5
4,Nida Awan Frontend Developer 7,19.03659028507393,Nida_Awan_Frontend_Developer_7.pdf,Frontend Developer Jd,"java, javascript, react, machine learning, css",6
5,Anum Awan Frontend Developer 4,18.397969264382333,Anum_Awan_Frontend_Developer_4.pdf,Frontend Developer Jd,"java, javascript, react, css, typescript",6
6,Farah Siddiqui Frontend Developer 6,18.10368197236374,Farah_Siddiqui_Frontend_Developer_6.pdf,Frontend Developer Jd,"java, javascript, react, machine learning, git",8
7,Faisal Qureshi Frontend Developer 1,15.415986881134536,Faisal_Qureshi_Frontend_Developer_1.pdf,Frontend Developer Jd,"java, javascript, react, git, html",8
8,Imran Butt Frontend Developer 2,14.85118615981284,Imran_Butt_Frontend_Developer_2.pdf,Frontend Developer Jd,"java, javascript, react, aws, html",8
9,Laiba Butt Uiux Designer 5,6.492744810825263,Laiba_Butt_UIUX_Designer_5.pdf,Frontend Developer Jd,,0
10,Iqra Raza Mern Developer 4,5.8750228290469,Iqra_Raza_MERN_Developer_4.pdf,Frontend Developer Jd,"java, javascript, react, node, mongodb",11
11,Waqas Butt Mern Developer 5,5.664779658994849,Waqas_Butt_MERN_Developer_5.pdf,Frontend Developer Jd,"java, javascript, react, mongodb, html",8
12,Danish Iqbal Uiux Designer 7,5.392077592192844,Danish_Iqbal_UIUX_Designer_7.pdf,Frontend Developer Jd,,0
13,Mariam Javed Mern Developer 2,5.380644449845482,Mariam_Javed_MERN_Developer_2.pdf,Frontend Developer Jd,"java, javascript, react, node, mongodb",11
14,Salman Qureshi Mern Developer 8,5.132571331852417,Salman_Qureshi_MERN_Developer_8.pdf,Frontend Developer Jd,"java, javascript, react, node, machine learning",11
15,Waqas Abbasi Uiux Designer 8,4.965648974139758,Waqas_Abbasi_UIUX_Designer_8.pdf,Frontend Developer Jd,machine learning,1
16,Ayesha Khan Mern Developer 3,4.7694788507180546,Ayesha_Khan_MERN_Developer_3.pdf,Frontend Developer Jd,"java, javascript, node, git, css",8
17,Hira Raza Uiux Designer 3,4.720431620339017,Hira_Raza_UIUX_Designer_3.pdf,Frontend Developer Jd,machine learning,1
18,Sana Khan Backend Developer 2,4.483670991247815,Sana_Khan_Backend_Developer_2.pdf,Frontend Developer Jd,"flask, sql, mongodb, redis, docker",8
19,Usman Khan Mern Developer 1,4.434145686519572,Usman_Khan_MERN_Developer_1.pdf,Frontend Developer Jd,"react, node, mongodb, git, html",7
20,Fatima Siddiqui Uiux Designer 2,4.316516213777401,Fatima_Siddiqui_UIUX_Designer_2.pdf,Frontend Developer Jd,,0
