Rank,Candidate,Similarity_Score,File,Job_Description,Skills,Skill_Count
1,Salman Qureshi Mern Developer 8,22.2961684134433,Salman_Qureshi_MERN_Developer_8.pdf,Mern Developer Jd,"java, javascript, react, node, machine learning",11
2,Ayesha Khan Mern Developer 3,21.291160720632803,Ayesha_Khan_MERN_Developer_3.pdf,Mern Developer Jd,"java, javascript, node, git, css",8
3,Usman Khan Mern Developer 1,20.31861486118495,Usman_Khan_MERN_Developer_1.pdf,Mern Developer Jd,"react, node, mongodb, git, html",7
4,Ali Abbasi Mern Developer 7,19.683405066456046,Ali_Abbasi_MERN_Developer_7.pdf,Mern Developer Jd,"java, javascript, node, mongodb, git",9
5,Iqra Raza Mern Developer 4,18.640964672355043,Iqra_Raza_MERN_Developer_4.pdf,Mern Developer Jd,"java, javascript, react, node, mongodb",11
6,Waqas Butt Mern Developer 5,16.78980774541758,Waqas_Butt_MERN_Developer_5.pdf,Mern Developer Jd,"java, javascript, react, mongodb, html",8
7,Mariam Javed Mern Developer 2,16.09268891964187,Mariam_Javed_MERN_Developer_2.pdf,Mern Developer Jd,"java, javascript, react, node, mongodb",11
8,Laiba Hussain Mern Developer 6,14.96416030939008,Laiba_Hussain_MERN_Developer_6.pdf,Mern Developer Jd,"java, javascript, react, node, machine learning",10
9,Imran Raza Backend Developer 8,9.134071989152137,Imran_Raza_Backend_Developer_8.pdf,Mern Developer Jd,"python, node, django, sql, postgresql",10
10,Faisal Qureshi Frontend Developer 1,8.304809471432634,Faisal_Qureshi_Frontend_Developer_1.pdf,Mern Developer Jd,"java, javascript, react, git, html",8
11,Kashif Qureshi Frontend Developer 5,8.234253617263079,Kashif_Qureshi_Frontend_Developer_5.pdf,Mern Developer Jd,"react, git, html, css, typescript",5
12,Kashif Siddiqui Frontend Developer 3,7.952571898756319,Kashif_Siddiqui_Frontend_Developer_3.pdf,Mern Developer Jd,"java, javascript, react, machine learning, git",9
13,Anum Awan Frontend Developer 4,7.540111712982878,Anum_Awan_Frontend_Developer_4.pdf,Mern Developer Jd,"java, javascript, react, css, typescript",6
14,Imran Butt Frontend Developer 2,7.489792757457024,Imran_Butt_Frontend_Developer_2.pdf,Mern Developer Jd,"java, javascript, react, aws, html",8
15,Laiba Khan Frontend Developer 8,6.918030131411217,Laiba_Khan_Frontend_Developer_8.pdf,Mern Developer Jd,"react, git, css, go, typescript",5
16,Mahnoor Khan Backend Developer 1,6.826450932919243,Mahnoor_Khan_Backend_Developer_1.pdf,Mern Developer Jd,"python, django, flask, sql, redis",8
17,Sana Khan Backend Developer 2,6.773120968443139,Sana_Khan_Backend_Developer_2.pdf,Mern Developer Jd,"flask, sql, mongodb, redis, docker",8
18,Adeel Abbasi Backend Developer 3,6.742118255594785,Adeel_Abbasi_Backend_Developer_3.pdf,Mern Developer Jd,"python, node, django, flask, sql",13
19,Farah Siddiqui Frontend Developer 6,6.11170894970456,Farah_Siddiqui_Frontend_Developer_6.pdf,Mern Developer Jd,"java, javascript, react, machine learning, git",8
20,Nida Awan Frontend Developer 7,5.8437095144263855,Nida_Awan_Frontend_Developer_7.pdf,Mern Developer Jd,"java, javascript, react, machine learning, css",6
21,Shahid Farooq Backend Developer 7,5.714437370370772,Shahid_Farooq_Backend_Developer_7.pdf,Mern Developer Jd,"django, flask, sql, postgresql, mongodb",11
22,Mariam Qureshi Backend Developer 5,5.198010820544145,Mariam_Qureshi_Backend_Developer_5.pdf,Mern Developer Jd,"flask, machine learning, mongodb, aws, docker",7
23,Laiba Butt Uiux Designer 5,4.84077396288386,Laiba_Butt_UIUX_Designer_5.pdf,Mern Developer Jd,,0
24,Rabia Farooq Backend Developer 4,4.596992218926018,Rabia_Farooq_Backend_Developer_4.pdf,Mern Developer Jd,"python, django, flask, sql, mongodb",8
25,Danish Iqbal Uiux Designer 7,4.302071371392522,Danish_Iqbal_UIUX_Designer_7.pdf,Mern Developer Jd,,0
26,Hira Raza Uiux Designer 3,4.020487518919505,Hira_Raza_UIUX_Designer_3.pdf,Mern Developer Jd,machine learning,1
27,Waqas Abbasi Uiux Designer 8,3.8011168258257797,Waqas_Abbasi_UIUX_Designer_8.pdf,Mern Developer Jd,machine learning,1
28,Junaid Sheikh Backend Developer 6,3.758759615401149,Junaid_Sheikh_Backend_Developer_6.pdf,Mern Developer Jd,"python, django, sql, postgresql, redis",10
29,Kashif Raza Uiux Designer 4,3.3329668720525882,Kashif_Raza_UIUX_Designer_4.pdf,Mern Developer Jd,aws,1
30,Fatima Siddiqui Uiux Designer 2,3.3069323891516214,Fatima_Siddiqui_UIUX_Designer_2.pdf,Mern Developer Jd,,0
